OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice,avg_value,ratio,band,cart_conversion,used_coupon,price_tier,order_month,is_weekend
ORD200000,2023-01-04,C72649,Monitor,5,570.62,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,2853.1,715.776460399799,0.008762398794293925,Top,0.7142857142857143,1,Luxury,1,0
ORD200001,2024-08-23,C75739,Phone,2,151.35,823 Main St,Online,Shipped,TRK91186779,3,SAVE10,Referral,302.7,95.63761906728335,0.013214403700033036,Low,0.6666666666666666,1,Budget,8,0
ORD200002,2024-02-27,C81728,Tablet,5,550.68,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,2753.4,691.0598466138836,0.009079683300646475,Top,0.625,1,Luxury,2,0
ORD200003,2023-10-15,C33540,Chair,1,273.19,275 Main St,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,273.19,115.07977674268214,0.0036604560928291665,Low,0.2,1,Mid,10,1
ORD200004,2025-05-08,C81840,Printer,4,626.01,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,2504.04,654.5948149457143,0.006389674286353253,High,0.5,1,Luxury,5,0
ORD200005,2023-10-23,C37249,Phone,2,245.86,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,491.72,154.91385578513518,0.008134710811030668,Low,0.5,1,Mid,10,0
ORD200006,2025-06-17,C83492,Laptop,1,664.42,986 Main St,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,664.42,278.3002508453488,0.0015050720929532526,Low,0.16666666666666666,1,Luxury,6,0
ORD200007,2023-05-12,C41460,Monitor,5,149.55,706 Main St,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,747.75,189.85954495165163,0.033433634236041454,Top,0.5555555555555556,1,Budget,5,0
ORD200008,2025-04-02,C26817,Phone,2,134.28,904 Main St,Gift Card,Cancelled,TRK61042692,2,FREESHIP,Email,268.56,84.76081570846988,0.014894250819183795,Low,1.0,1,Budget,4,0
ORD200009,2023-11-21,C31946,Desk,4,509.38,102 Main St,Credit Card,Shipped,TRK33478363,6,SAVE10,Google,2037.52,532.6888087806091,0.007852683654638972,High,0.6666666666666666,1,Premium,11,0
ORD200010,2023-12-29,C43443,Tablet,5,625.97,333 Main St,Credit Card,Returned,TRK98859248,9,WINTER15,Instagram,3129.85,785.3804979338732,0.007987603239771874,Top,0.5555555555555556,1,Luxury,12,0
ORD200011,2024-02-17,C93861,Monitor,3,49.14,831 Main St,Online,Returned,TRK48234646,7,SAVE10,Email,147.42,43.03871161831828,0.06105006105006105,Mid,0.42857142857142855,1,Budget,2,1
ORD200012,2024-10-15,C38785,Monitor,2,180.5,179 Main St,Debit Card,Pending,TRK20419991,6,FREESHIP,Referral,361.0,114.481013388735,0.0110803324099723,Low,0.3333333333333333,1,Budget,10,0
ORD200013,2023-08-30,C88348,Laptop,3,201.49,903 Main St,Credit Card,Returned,TRK81913874,4,FREESHIP,Facebook,604.47,169.36914817939683,0.014889076380961834,Mid,0.75,1,Mid,8,0
ORD200014,2023-03-27,C98474,Tablet,2,393.33,980 Main St,Debit Card,Pending,TRK79186539,3,SAVE10,Instagram,786.66,246.8737641314757,0.005084788854142832,Low,0.6666666666666666,1,Premium,3,0
ORD200015,2023-07-17,C39416,Printer,1,473.96,942 Main St,Cash,Delivered,TRK54930938,3,FREESHIP,Google,473.96,198.31701831378174,0.002109882690522407,Low,0.3333333333333333,1,Premium,7,0
ORD200016,2023-01-24,C28976,Printer,2,533.81,914 Main St,Credit Card,Pending,TRK13194259,3,FREESHIP,Email,1067.62,334.67354110857167,0.003746651430284184,Low,0.6666666666666666,1,Luxury,1,0
ORD200017,2024-03-02,C60672,Tablet,1,423.4,382 Main St,Debit Card,Shipped,TRK11972116,3,FREESHIP,Referral,423.4,177.25039363879705,0.0023618327822390174,Low,0.3333333333333333,1,Premium,3,1
ORD200018,2025-03-26,C84329,Desk,1,431.44,891 Main St,Gift Card,Pending,TRK65191045,3,SAVE10,Facebook,431.44,180.60038630323257,0.0023178193955127016,Low,0.3333333333333333,1,Premium,3,0
ORD200019,2023-01-23,C14552,Monitor,5,224.0,273 Main St,Cash,Returned,TRK59101365,9,SAVE10,Google,1120.0,282.92038690476187,0.022321428571428572,Top,0.5555555555555556,1,Mid,1,0
ORD200020,2023-05-08,C54829,Chair,5,62.51,587 Main St,Cash,Pending,TRK16718651,9,WINTER15,Instagram,312.55,81.05954495165162,0.07998720204767237,Top,0.5555555555555556,1,Budget,5,0
ORD200021,2024-11-17,C99023,Monitor,4,342.95,569 Main St,Cash,Delivered,TRK52646983,6,FREESHIP,Google,1371.8,359.3248605846333,0.011663507799970841,High,0.6666666666666666,1,Mid,11,1
ORD200022,2023-01-29,C34416,Monitor,2,49.62,633 Main St,Online,Pending,TRK75937350,2,SAVE10,Google,99.24,31.851211618318285,0.04030632809351068,Low,1.0,1,Budget,1,1
ORD200023,2025-04-09,C42372,Phone,4,273.25,755 Main St,Debit Card,Cancelled,TRK36168083,5,FREESHIP,Referral,1093.0,286.5128564348887,0.01463860933211345,High,0.8,1,Mid,4,0
ORD200024,2024-10-30,C17470,Laptop,2,230.95,956 Main St,Online,Delivered,TRK28775057,3,WINTER15,Referral,461.9,145.38685998051525,0.008659883091578264,Low,0.6666666666666666,1,Mid,10,0
ORD200025,2024-07-24,C42577,Monitor,1,399.98,709 Main St,Debit Card,Delivered,TRK69423327,3,WINTER15,Email,399.98,167.4920833541677,0.0025001250062503125,Low,0.3333333333333333,1,Premium,7,0
ORD200026,2024-03-06,C21944,Laptop,5,59.55,296 Main St,Online,Delivered,TRK80276812,6,FREESHIP,Referral,297.75,76.73454495165161,0.08396305625524769,Top,0.8333333333333334,1,Budget,3,0
ORD200027,2024-02-22,C97593,Printer,1,472.74,881 Main St,Online,Shipped,TRK89117573,6,WINTER15,Google,472.74,198.43368588794405,0.002115327664255193,Low,0.16666666666666666,1,Premium,2,0
ORD200028,2023-11-21,C59823,Phone,4,160.07,568 Main St,Online,Pending,TRK65895539,5,FREESHIP,Email,640.28,168.6187481778805,0.02498906728306366,High,0.8,1,Budget,11,0
ORD200029,2024-09-20,C33260,Desk,3,423.53,930 Main St,Credit Card,Delivered,TRK59744090,6,SAVE10,Referral,1270.59,354.8178472205825,0.007083323495384035,Mid,0.5,1,Premium,9,0
ORD200030,2025-03-22,C44267,Monitor,2,426.7,895 Main St,Online,Pending,TRK54751444,5,SAVE10,Referral,853.4,268.14661452230297,0.004687133817670494,Low,0.4,1,Premium,3,1
ORD200031,2023-06-30,C26445,Chair,3,500.08,996 Main St,Debit Card,Returned,TRK31229981,6,FREESHIP,Facebook,1500.24,418.60933317335895,0.005999040153575428,Mid,0.5,1,Premium,6,0
ORD200032,2023-05-01,C12388,Tablet,5,536.72,830 Main St,Cash,Delivered,TRK99261395,10,FREESHIP,Email,2683.6,674.0265526407313,0.00931584438813534,Top,0.5,1,Luxury,5,0
ORD200033,2023-06-05,C52184,Chair,1,162.77,912 Main St,Online,Cancelled,TRK73312471,4,WINTER15,Facebook,162.77,68.86352393971043,0.006143638262579099,Low,0.25,1,Budget,6,0
ORD200034,2023-01-07,C67195,Chair,4,576.52,926 Main St,Credit Card,Pending,TRK55467915,5,WINTER15,Facebook,2306.08,602.4178230301349,0.0069381808089918826,High,0.8,1,Luxury,1,1
ORD200035,2024-12-07,C50304,Monitor,2,465.15,128 Main St,Online,Shipped,TRK46850888,2,SAVE10,Facebook,930.3,291.5527999480454,0.004299688272600237,Low,1.0,1,Premium,12,1
ORD200036,2025-05-08,C59337,Laptop,2,534.43,465 Main St,Debit Card,Pending,TRK50961250,5,FREESHIP,Facebook,1068.86,335.4777070508143,0.0037423048855790286,Low,0.4,1,Luxury,5,0
ORD200037,2024-10-14,C10054,Laptop,2,76.74,409 Main St,Cash,Returned,TRK94005261,7,SAVE10,Instagram,153.48,49.84184367127096,0.026062027625749284,Low,0.2857142857142857,1,Budget,10,0
ORD200038,2024-12-19,C15924,Laptop,1,245.89,549 Main St,Debit Card,Delivered,TRK14835975,3,SAVE10,Google,245.89,103.28817780986077,0.004066859164667128,Low,0.3333333333333333,1,Mid,12,0
ORD200039,2025-02-27,C96664,Printer,3,256.46,666 Main St,Credit Card,Delivered,TRK85508960,4,SAVE10,Referral,769.3799999999999,215.17694962177336,0.011697730640255791,Mid,0.75,1,Mid,2,0
ORD200040,2023-08-20,C84766,Desk,2,344.02,267 Main St,Online,Delivered,TRK78967923,4,FREESHIP,Instagram,688.04,216.26346893591457,0.005813615487471659,Low,0.5,1,Mid,8,1
ORD200041,2023-12-05,C20212,Monitor,3,611.45,657 Main St,Gift Card,Pending,TRK69733327,4,FREESHIP,Instagram,1834.35,511.0008177283507,0.0049063701038515005,Mid,0.75,1,Luxury,12,0
ORD200042,2024-05-06,C28712,Printer,2,151.66,980 Main St,Cash,Cancelled,TRK40772558,6,FREESHIP,Instagram,303.32,96.4563645654754,0.013187392852433075,Low,0.3333333333333333,1,Budget,5,0
ORD200043,2023-12-14,C60572,Chair,3,499.21,871 Main St,Online,Cancelled,TRK20351666,8,FREESHIP,Instagram,1497.63,418.3010015825004,0.006009495002103324,Mid,0.375,1,Premium,12,0
ORD200044,2025-04-21,C73225,Phone,2,550.18,996 Main St,Gift Card,Returned,TRK73848522,3,FREESHIP,Referral,1100.36,344.9047725289906,0.003635173943073176,Low,0.6666666666666666,1,Luxury,4,0
ORD200045,2024-02-10,C17388,Chair,1,317.25,157 Main St,Debit Card,Returned,TRK47077395,1,SAVE10,Facebook,317.25,132.60469201470974,0.0031520882584712374,Low,1.0,1,Mid,2,1
ORD200046,2024-06-26,C43212,Monitor,4,550.14,223 Main St,Debit Card,Pending,TRK25100762,4,FREESHIP,Instagram,2200.56,574.7303784794174,0.007270876504162577,High,1.0,1,Luxury,6,0
ORD200047,2023-07-19,C38134,Desk,2,209.94,323 Main St,Credit Card,Returned,TRK42450754,3,FREESHIP,Email,419.88,132.2557544218983,0.00952653138992093,Low,0.6666666666666666,1,Mid,7,0
ORD200048,2023-08-26,C12408,Monitor,2,80.77,464 Main St,Debit Card,Shipped,TRK38938858,4,FREESHIP,Google,161.54,51.73537694482275,0.02476166893648632,Low,0.5,1,Budget,8,1
ORD200049,2023-10-07,C11985,Printer,1,30.44,633 Main St,Credit Card,Shipped,TRK53272402,1,SAVE10,Email,30.44,13.105378284984951,0.0328515111695138,Low,1.0,1,Budget,10,1
ORD200050,2023-07-31,C96494,Tablet,1,179.22,446 Main St,Online,Cancelled,TRK14675049,6,FREESHIP,Instagram,179.22,76.13426328906745,0.005579734404642339,Low,0.16666666666666666,1,Budget,7,0
ORD200051,2024-12-30,C36778,Tablet,1,388.33,434 Main St,Cash,Returned,TRK67610289,2,SAVE10,Facebook,388.33,162.42959585490004,0.0025751294002523627,Low,0.5,1,Premium,12,0
